Time (s),FP1_Filtered,FP2_Filtered
1.97,8613.248591380134,-8186.822466829504
1.97,8611.129848168333,-8186.343133676289
1.98,8608.207863118005,-8188.049075478426
1.98,8603.998524807395,-8192.165736966708
1.98,8599.016368254901,-8197.852750295344
1.99,8594.4811264815,-8203.58354475601
1.99,8590.897062483544,-8208.07125462201
2.0,8587.949885366184,-8210.612940921257
2.0,8585.752963814464,-8210.843613524916
2.0,8585.052306515934,-8208.795152776504
2.01,8586.014974920217,-8205.26085186324
2.01,8587.87372137697,-8201.570501105996
2.02,8590.057330858013,-8198.759853967009
2.02,8592.646619964613,-8197.184975870003
2.02,8595.339902028896,-8196.889322739356
2.03,8597.0576182671,-8197.81429319928
2.03,8597.246706713146,-8199.455346302266
2.04,8596.747418055627,-8200.791594684286
2.04,8596.72184754703,-8200.930829565576
2.04,8597.520229488424,-8199.615648388517
2.05,8599.283217388824,-8196.95063385053
2.05,8602.742451531954,-8193.060546216566
2.06,8608.321698181438,-8188.389682542361
2.06,8614.942414496276,-8184.015804116096
2.06,8620.757575385402,-8181.16258624817
2.07,8624.803113602007,-8180.421568816486
2.07,8627.14625613013,-8181.648714388432
2.08,8627.947076786582,-8184.34560887349
2.08,8627.548533377087,-8187.739791322934
2.08,8627.24123431452,-8190.708199455818
2.09,8628.62304223008,-8192.197525252697
2.09,8631.974464479144,-8191.83235345971
2.1,8636.177871928217,-8189.8423686872475
2.1,8640.305587316507,-8186.494897773559
2.1,8644.30010272827,-8182.028486035986
2.11,8648.018197355379,-8177.120536310872
2.11,8650.836072244194,-8172.894130065737
2.12,8652.677515321258,-8170.237908510563
2.12,8654.3889213063,-8169.379969439352
2.12,8656.446104789624,-8170.142812837769
2.13,8658.105826223626,-8172.154772496516
2.13,8658.456583502,-8174.655147884488
2.14,8657.532870414163,-8176.622363767016
2.14,8655.753472705546,-8177.55557519148
2.14,8653.117406499163,-8177.940707440037
2.15,8649.859784982327,-8178.6572224710935
2.15,8647.211313213535,-8180.101587234443
2.16,8646.406369948714,-8182.0546916053245
2.16,8647.236848114957,-8184.015585535839
2.16,8648.432226527239,-8185.2628725164195
2.17,8649.084643194423,-8184.907164436769
2.17,8648.81226115391,-8182.4985055276375
2.18,8647.019312478193,-8178.631597549334
2.18,8643.323302588162,-8174.600135308699
2.18,8638.742060923036,-8171.437359233433
2.19,8635.322789219168,-8169.4915203152905
2.19,8634.355258720389,-8168.6701712448175
2.2,8635.756094766142,-8168.544028577455
2.2,8639.152508392506,-8168.233679340193
2.2,8644.393349736956,-8166.8099276378325
2.21,8650.707652744075,-8164.123984270214
2.21,8656.536365192063,-8161.007581950493
2.22,8660.85445980292,-8158.55840993539
2.22,8663.871743892285,-8157.500317908022
2.22,8665.93741874828,-8158.20485269736
2.23,8666.64039906487,-8160.753682463721
2.23,8665.625931969169,-8164.649835798164
2.24,8663.414273116783,-8168.864658023135
2.24,8660.543155566667,-8172.587729983378
2.24,8656.585921925358,-8175.759327779538
2.25,8650.958078141426,-8178.631880835991
2.25,8644.190618620603,-8181.106190048724
2.26,8637.494302306623,-8182.844105281071
2.26,8631.512108072875,-8183.784266657543
2.26,8626.43797463527,-8184.138102845969
2.27,8622.887914076571,-8184.03937519317
2.27,8621.415045290643,-8183.606308179715
2.28,8621.245909373902,-8183.235677123667
2.28,8620.608816120452,-8183.406457787803
2.28,8618.404039987143,-8184.222462610399
2.29,8614.652228347917,-8185.524621334368
2.29,8609.394521857026,-8187.40401281978
2.3,8602.374829475333,-8190.153787809011
2.3,8594.075776997448,-8193.648443494203
2.3,8585.912221806984,-8197.171610727633
2.31,8578.845661279016,-8199.971100113687
2.31,8572.649780572669,-8201.661192662272
2.32,8566.957416363257,-8202.074574483324
2.32,8562.069291319489,-8201.260390779045
2.32,8558.151607241462,-8199.902590596183
2.33,8554.621841736851,-8199.307800634848
2.33,8551.209944001592,-8200.537803479045
2.34,8548.917419600972,-8203.648508301836
2.34,8549.01620318568,-8207.890198701592
2.34,8551.617801376642,-8212.303542555497
2.35,8556.031401578846,-8215.891981905916
2.35,8561.909447317294,-8217.694387924945
2.36,8569.00597917454,-8217.307905511592
2.36,8576.279144981798,-8215.294208670926
2.36,8582.461675387549,-8212.700103726758
2.37,8587.426465786875,-8210.23759368836
2.37,8591.963520475461,-8208.180346932042
2.38,8596.283113350262,-8206.78602833073
2.38,8599.756982217154,-8206.288989211234
2.38,8602.07916977975,-8206.543526003246
2.39,8603.524777195376,-8207.198500874862
2.39,8603.916114819054,-8208.285100751062
2.4,8602.55251374416,-8210.16892809933
2.4,8599.655064579245,-8212.795501147188
2.4,8596.919866779966,-8215.381146998954
2.41,8596.0975170417,-8216.994798947784
2.41,8597.784260022432,-8217.110354697132
2.42,8601.942961205257,-8215.537261207142
2.42,8608.507831794415,-8212.343453999702
2.42,8616.6846430919,-8208.16466246134
2.43,8624.55090734175,-8204.187277917632
2.43,8630.414370717108,-8201.37522125807
2.44,8634.193336922097,-8199.820178765445
2.44,8636.800990315238,-8199.02973709376
2.44,8638.801126170101,-8198.5658859392
2.45,8640.501150580229,-8198.145818154127
2.45,8642.667691786053,-8197.484882396955
2.46,8645.888510714547,-8196.530982284
2.46,8649.432157522522,-8195.71560387192
2.46,8651.84219773404,-8195.544706342498
2.47,8652.629692240776,-8195.990909886206
2.47,8652.478485548176,-8196.608316740636
2.48,8651.958266281386,-8197.10629262235
2.48,8651.158384015947,-8197.39113507077
2.48,8650.594274529576,-8197.140978832642
2.49,8651.203116967843,-8195.879559461668
2.49,8653.016063954168,-8193.602759767631
2.5,8654.800862520404,-8190.9588279834325
2.5,8655.444414148697,-8188.699787524909
2.5,8654.835046644444,-8187.279746437609
2.51,8653.053615049175,-8187.01983402883
2.51,8649.786035361838,-8188.164679208618
2.52,8645.245122041215,-8190.499582757121
2.52,8640.791063345658,-8193.252811531269
2.52,8637.77940068388,-8195.66585562805
2.53,8636.393757635784,-8197.427774889546
2.53,8636.301753990401,-8198.373548949408
2.54,8637.690522870069,-8198.141416950191
2.54,8640.677566483022,-8196.510100989957
2.54,8644.291269233488,-8193.845953326307
2.55,8647.171433597596,-8190.856191095299
2.55,8648.999069934738,-8188.063755008681
2.56,8650.244623747101,-8185.811082399559
2.56,8650.815651528152,-8184.4917878426395
2.56,8650.1033686684,-8184.270224165191
2.57,8648.260551528663,-8184.666405868499
2.57,8646.250187555379,-8184.92645640408
2.58,8644.495494147672,-8184.887721881033
2.58,8642.533059444355,-8185.159410619102
2.58,8640.176621868037,-8186.470728039289
2.59,8637.938254588398,-8189.1872246077555
2.59,8635.961651536214,-8193.356697579287
2.6,8633.602815428032,-8198.61680172588
2.6,8630.612412235956,-8203.843565978135
2.6,8627.836640733707,-8207.38506738406
2.61,8626.152841104267,-8208.070522883912
2.61,8625.517552244384,-8205.916488484676
2.62,8625.66345883823,-8201.832134862616
2.62,8626.853855842415,-8197.008552341094
2.62,8629.092000347371,-8192.706544099401
2.63,8631.279957105548,-8190.057927644328
